ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007269,neurotransmitter secretion,21/429,146/18986,0.14383561643835616,6.365648050579557,9.895510960581026,1.5258447169447663e-11,2.677857478238065e-8,2.4020008149377875e-8,ABCC8/CADPS/CAMK2A/CDK5/DOC2B/ERC2/KCNMB4/MCTP1/MEF2C/NAPB/NRXN2/PPFIA2/RAB3A/RIMS1/SEPTIN5/SLC4A8/SNAP25/SNCAIP/SYN1/SYNJ1/SYT1,21
GO:0099643,signal release from synapse,21/429,146/18986,0.14383561643835616,6.365648050579557,9.895510960581026,1.5258447169447663e-11,2.677857478238065e-8,2.4020008149377875e-8,ABCC8/CADPS/CAMK2A/CDK5/DOC2B/ERC2/KCNMB4/MCTP1/MEF2C/NAPB/NRXN2/PPFIA2/RAB3A/RIMS1/SEPTIN5/SLC4A8/SNAP25/SNCAIP/SYN1/SYNJ1/SYT1,21
GO:0099504,synaptic vesicle cycle,24/429,222/18986,0.10810810810810811,4.7844767844767855,8.623820006479749,2.478180002148956e-10,2.1746029518857087e-7,1.950588522744086e-7,AMPH/AP3B2/ATP6V1G2/BSN/CADPS/CDK5/CDK5R1/DNM3/DOC2B/ERC2/NAPB/PCDH17/PPFIA2/RAB3A/RIMS1/SEPTIN5/SGIP1/SH3GL3/SLC4A8/SNAP25/SNAP91/SYN1/SYNJ1/SYT1,24
GO:0097479,synaptic vesicle localization,12/429,60/18986,0.2,8.851282051282052,9.261191182422925,7.977440062450592e-9,5.600162923840316e-6,5.023268047745204e-6,AP3B2/BSN/CDK5/DNM3/KIF5A/KIF5C/MAP2/PCDH17/RAB3A/SNAP91/SYN1/SYNJ1,12
GO:0006836,neurotransmitter transport,21/429,209/18986,0.10047846889952153,4.446816341553184,7.618303078302727,1.2366624762327803e-8,7.234475485961765e-6,6.489223625284641e-6,ABCC8/CADPS/CAMK2A/CDK5/DOC2B/ERC2/KCNMB4/MCTP1/MEF2C/NAPB/NRXN2/PPFIA2/RAB3A/RIMS1/SEPTIN5/SLC4A8/SNAP25/SNCAIP/SYN1/SYNJ1/SYT1,21
GO:0042391,regulation of membrane potential,32/429,466/18986,0.06866952789699571,3.039066798723451,6.776165169214151,2.6857341845825422e-8,1.2927411244592947e-5,1.1595707612109014e-5,ABAT/ABCC8/AKAP6/ATP1A3/CDK5/CELF4/CHRNB2/CNGB1/CUX2/GABRA3/GPD1L/GRIA2/GRIK2/GRIK3/IFI6/KCNA2/KCNB1/KCNH8/KCNK2/KCNMB4/KCTD16/MAPK8IP2/MAPT/MEF2C/MLLT11/RIMS1/SCN2A/SCN3B/SCN9A/SLC4A8/SLC8A1/SOD1,32
GO:0007611,learning or memory,24/429,282/18986,0.0851063829787234,3.7665030005455535,7.116533790394262,2.9464185172861416e-8,1.2927411244592947e-5,1.1595707612109014e-5,ABCC8/ARF4/CAMK2N1/CDK5/CHRNB2/CLSTN2/CUX2/EPM2A/IFT20/KAT2B/KCNK2/MAPK8IP2/MAPT/MEF2C/MEIS2/NDRG4/NRXN2/PAK5/RCAN1/SCN2A/SLC12A5/SNAP25/SYNJ1/TMOD2,24
GO:0010975,regulation of neuron projection development,31/429,452/18986,0.06858407079646017,3.035284774222827,6.658706685076502,4.588704593551139e-8,1.4642139203058634e-5,1.3133794678766947e-5,CDK5/CDK5R1/CHODL/CHRNB2/CUX2/DCC/DNM3/EPHA3/HECW1/ISLR2/KAT2B/KIDINS220/LRRC4C/LRRC7/MAP2/MAPT/NDNF/NDRG4/NEFL/NRP1/PPFIA2/PPP2R5B/PRKD1/PTPRO/RUFY3/SARM1/SLIT2/SLITRK1/SNAP25/STMN2/TRIM67,31
GO:0007409,axonogenesis,30/429,459/18986,0.06535947712418301,2.892575833752305,6.240755171182035,2.16466269569373e-7,5.427118615632138e-5,4.8680497164059746e-5,CDK5/CDK5R1/CHODL/CHRNB2/CLASP2/DCC/DLX5/EPHA3/FOXG1/GAP43/ISL1/ISLR2/KIF5A/KIF5C/KLF7/LRRC4C/MAP2/MAPT/NEFL/NKX2-1/NRP1/NTN4/PTPRO/RAB3A/RUFY3/SEMA3C/SLIT2/SLITRK1/SNAP25/VAX1,30
GO:0048489,synaptic vesicle transport,9/429,45/18986,0.2,8.851282051282052,8.017250384558151,6.084383661394103e-7,1.256246273617253e-4,1.1268353889306355e-4,AP3B2/CDK5/DNM3/KIF5A/KIF5C/MAP2/RAB3A/SNAP91/SYNJ1,9
GO:0035418,protein localization to synapse,12/429,89/18986,0.1348314606741573,5.967156439066551,7.141451201150015,7.49256315526119e-7,1.461049815275932e-4,1.3105413097886677e-4,BSN/CDK5/DLG2/KIF5A/KIF5C/LRRC7/MAPT/NRXN2/NSG1/VPS26B/VPS35/VWC2,12
GO:0021953,central nervous system neuron differentiation,18/429,203/18986,0.08866995073891626,3.9242137173171656,6.368757498598401,8.84005495256479e-7,1.633083835973811e-4,1.4648534273197387e-4,ASCL1/CDK5/CHRNB2/DCC/DCLK2/DLX1/DLX2/DLX5/FOXG1/GSX2/ISL1/MAP2/MAPT/NDNF/NKX2-1/NRP1/SLIT2/ZC4H2,18
